Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004323,JOHN H CARTER CO INC,7,15,2.14,27160,93.78
51004548,SHRIEVE CHEMICAL COMPANY INC,11,15,1.36,27175,93.84
51004193,ISN SOFTWARE CORPORATION,3,15,5.0,27190,93.89
51004415,MISSISSIPPI STATE DEPT OF HEALTH,3,15,5.0,27205,93.94
51004668,"FREDERIC W. COOK & CO., INC.",8,15,1.88,27220,93.99
51006076,"AKONA PROCESS SOLUTIONS, INC.",3,15,5.0,27235,94.04
51004622,PROMETHEUS GROUP ENTERPRISES LLC,3,15,5.0,27250,94.1
51001868,OPTIMAL AMERICAS LLC,7,14,2.0,27264,94.14
51004708,AVEVA SOFTWARE LLC,2,14,7.0,27278,94.19
51004325,DWIGHT W PROUTY COMPANY INC,5,14,2.8,27292,94.24
51004978,COGENT COMMUNICATIONS INC,5,14,2.8,27306,94.29
51003983,BRUKER AXS LLC,2,14,7.0,27320,94.34
51004302,UPS SUPPLY CHAIN SOLUTIONS,5,14,2.8,27334,94.39
51004033,PRECISION WIRE PRODUCTS,6,14,2.33,27348,94.43
51004653,BHS-LIFEBUX,6,14,2.33,27362,94.48
51003947,CENTRIFUGAL TECHOLOGIES INC,4,14,3.5,27376,94.53
51004539,SC H GROUP INC,3,14,4.67,27390,94.58
51004154,DELOITTE CONSULTING LLP,8,14,1.75,27404,94.63
51004208,GEA SYSTEMS NORTH AMERICA LLC,2,13,6.5,27417,94.67
51004335,VERNON MILLING CO INC,8,13,1.62,27430,94.72
51004397,ENVIRO-LABS INC,3,13,4.33,27443,94.76
51002690,WHITEHALL RESOURCES LTD,6,13,2.17,27456,94.81
51004650,S D MYERS LLC,4,13,3.25,27469,94.85
51003972,W W GRAINGER INC,6,13,2.17,27482,94.9
51004383,FIRETROL PROTECTION SYSTEMS INC,7,13,1.86,27495,94.94
51003924,COUPA SOFTWARE INC,5,12,2.4,27507,94.98
51004888,TECHIN PROCESS TECHNOLOGIES PVT. LT,4,12,3.0,27519,95.02
51004823,MACHINA SYSTEMS ( PTY ) LTD,6,12,2.0,27531,95.07
51004295,UL VERIFICATION SERVICES INC,5,12,2.4,27543,95.11
51004333,PENNIE J GREEN,3,12,4.0,27555,95.15
51004353,MEIJBURG & CO,4,12,3.0,27567,95.19
51004752,CLEAR EDGE FILTRATION INC,8,12,1.5,27579,95.23
51004677,RIVER LOGIC INC,4,12,3.0,27591,95.27
51004259,ZAYO GROUP HOLDINGS INC,5,12,2.4,27603,95.31
51004855,"MIDWEST COOLING TOWER SERVICES, LLC",8,12,1.5,27615,95.36
51004870,"ANDRESS ENGINEERING ASSOCIATES ,INC",8,12,1.5,27627,95.4
51004476,GULBRANDSEN CO INC,5,11,2.2,27638,95.44
51003876,ROBERT J YOUNG COMPANY INC,2,11,5.5,27649,95.47
51005073,"JACO MACHINE, LLC",2,11,5.5,27660,95.51
51004879,"SOUTHERN TOOLING & MACHINE WORKS, I",7,11,1.57,27671,95.55
51003879,"FLUID ENGINEERING, INC",3,11,3.67,27682,95.59
51005125,WABASH METAL PRODUCTS INC.,4,11,2.75,27693,95.62
51004747,"MAK ENGINEERING, LLC",3,11,3.67,27704,95.66
51005218,SECURE IMPLEMENTATION SERVICES LTD,4,11,2.75,27715,95.7
51004318,COOPER MARINE & TIMBERLANDS CORP,3,11,3.67,27726,95.74
51004844,"TRUMBO, INC.",3,10,3.33,27736,95.77
51004654,AIRDUSCO INC,6,10,1.67,27746,95.81
51006057,"CONCUR TECHNOLOGIES, INC.",5,10,2.0,27756,95.84
51004735,"INSIGHTSOFTWARE, LLC",4,10,2.5,27766,95.88
51004596,QIANG WANG,8,10,1.25,27776,95.91
51000400,RATH REFRACTORIES INC,6,10,1.67,27786,95.95
51003993,BLOCKER & WALLACE SERVICE LLC,2,10,5.0,27796,95.98
51004051,PREMIER LAB SUPPLY INC,3,10,3.33,27806,96.02
51004008,ELECTRIC MOTOR SALES & SERVICE,5,10,2.0,27816,96.05
51004075,TRINOVA INC,4,10,2.5,27826,96.08
51004204,UPPEREDGE LLC,2,10,5.0,27836,96.12
51004053,CUSTOM ADVANCED CONNECTIONS,3,10,3.33,27846,96.15
51004994,TIPMC SOLUTIONS LLC,5,9,1.8,27855,96.18
51004990,NASDAQ INC,5,9,1.8,27864,96.22
51004914,O BRIEN EQUIPMENT INC_286380,3,9,3.0,27873,96.25
