Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004010,TENNESSEE REAGENTS INC,5,10,2.0,12028,90.01
51004356,MALVERN PANALYTICAL INC,4,10,2.5,12038,90.08
51004835,"DESCARTES U.S. HOLDINQS, INC.",10,10,1.0,12048,90.16
51004106,FLSMIDTH SALT LAKE CITY INC,5,10,2.0,12058,90.23
51004033,PRECISION WIRE PRODUCTS,5,10,2.0,12068,90.31
51004878,SCOTT & SONS CONSTRUCTION & MECHANI,7,10,1.43,12078,90.38
51004159,AMETEK BROOKFIELD,2,10,5.0,12088,90.46
51004007,PROCESS & POWER INC,8,10,1.25,12098,90.53
51004888,TECHIN PROCESS TECHNOLOGIES PVT. LT,3,10,3.33,12108,90.61
51004121,PBM/CMSI OF CONNECTICUT LLC,5,10,2.0,12118,90.68
51004844,"TRUMBO, INC.",3,10,3.33,12128,90.76
51004901,CENTRAL ALABAMA TRAINING SOLUTIONS,6,10,1.67,12138,90.83
51004050,MATTOX FEED MILL INC,7,10,1.43,12148,90.91
51004422,ANV INC,8,9,1.12,12157,90.98
51004677,RIVER LOGIC INC,3,9,3.0,12166,91.04
51004647,INTREPID INDUSTRIES INC,6,9,1.5,12175,91.11
51003929,DERRICK CORPORATION,4,9,2.25,12184,91.18
51004752,CLEAR EDGE FILTRATION INC,7,9,1.29,12193,91.24
51004633,"HARGROVE AND ASSOCIATES, INC",4,9,2.25,12202,91.31
51004476,GULBRANDSEN CO INC,4,9,2.25,12211,91.38
51004773,"BURNS DIRT CONSTRUCTION, INC.",3,9,3.0,12220,91.45
51004815,INCEED LLC,6,9,1.5,12229,91.51
51004622,PROMETHEUS GROUP ENTERPRISES LLC,2,9,4.5,12238,91.58
51003968,KNOELL USA LLC,1,9,9.0,12247,91.65
51000400,RATH REFRACTORIES INC,6,9,1.5,12256,91.72
51001900,DCM SHRIRAM LTD,6,9,1.5,12265,91.78
51004323,JOHN H CARTER CO INC,6,9,1.5,12274,91.85
51005113,"BEIJING SEE CONSULTING SERVICE CO.,",3,9,3.0,12283,91.92
51004204,UPPEREDGE LLC,2,9,4.5,12292,91.99
51004266,COLUMBIA PSI LLC,4,9,2.25,12301,92.05
51004088,QUICKBLADES INC,9,9,1.0,12310,92.12
51004024,SHICK SOLUTIONS INC,5,9,1.8,12319,92.19
51004295,UL VERIFICATION SERVICES INC,2,8,4.0,12327,92.25
51004784,ARCHLYNK LLC,4,8,2.0,12335,92.31
51004415,MISSISSIPPI STATE DEPT OF HEALTH,3,8,2.67,12343,92.37
51004514,PRATER INDUSTRIES INC,4,8,2.0,12351,92.43
51004795,JORGE DIAZ,5,8,1.6,12359,92.49
51003974,CDW DIRECT LLC,2,8,4.0,12367,92.55
51004674,MECS INC,4,8,2.0,12375,92.61
51004611,ZOOK ENTERPRISES LLC,7,8,1.14,12383,92.67
51003874,ASHLEY G CULLUM III,6,8,1.33,12391,92.73
51004894,JAY INDUSTRIAL REPAIR INC.,1,8,8.0,12399,92.79
51004302,UPS SUPPLY CHAIN SOLUTIONS,5,8,1.6,12407,92.85
51004376,JACKSON MECHANICAL SERVICE INC,5,8,1.6,12415,92.91
51004151,MEDPRO WASTE DISPOSAL LLC,8,8,1.0,12423,92.97
51004314,COOK COMPRESSION,6,8,1.33,12431,93.03
51004362,LOFTWARE INC,5,8,1.6,12439,93.09
51004866,INDUSCO LLC,3,8,2.67,12447,93.15
51004746,ADVANCED ELECTRONIC SERVICE INC,3,8,2.67,12455,93.21
51003879,FLUID ENGINEERING INC,6,8,1.33,12463,93.26
51005059,"PETROQUIMICA MEXICANA DE VINILO, S.",6,7,1.17,12470,93.32
51004259,ZAYO GROUP HOLDINGS INC,5,7,1.4,12477,93.37
51004154,DELOITTE CONSULTING LLP,3,7,2.33,12484,93.42
51004503,BETE FOG NOZZLE INC,5,7,1.4,12491,93.47
51004735,"INSIGHTSOFTWARE, LLC",3,7,2.33,12498,93.53
51004719,GTT AMERICAS LLC,5,7,1.4,12505,93.58
51004653,BHS-LIFEBUX,4,7,1.75,12512,93.63
51003972,W W GRAINGER INC,3,7,2.33,12519,93.68
51004859,SOFTWAREONE AUSTRALIA PTY LTD,1,7,7.0,12526,93.74
